Pokemon Name,Pokemon ID,Route,Catch Method,Levels,Encounter Chance
Machop,066,Victory Road#3F,Cave,24,25%
Machoke,067,Victory Road#3F,Cave,"42, 45",5%
Geodude,074,Victory Road#3F,Cave,26,15%
Graveler,075,Victory Road#3F,Cave,43,5%
Onix,095,Victory Road#3F,Cave,"42, 45",20%
Magikarp,129,Viridian City,Old Rod,5,100%
Poliwag,060,Viridian City,Good Rod,10,50%
Goldeen,118,Viridian City,Good Rod,10,50%
Poliwag,060,Viridian City,Super Rod,15,50%
Tentacool,072,Viridian City,Super Rod,15,50%
Caterpie,010,Viridian Forest,Grass,3-5,45%
Metapod,011,Viridian Forest,Grass,4-6,40%
Weedle,013,Viridian Forest,Grass,3,5%
Kakuna,014,Viridian Forest,Grass,4,5%
Pikachu,025,Viridian Forest,Grass,"3, 5",5%
